epoch,loss,step
0,1.003834843635559,49
0,1.0013928413391113,99
0,1.0059975385665894,149
0,0.9990444779396057,199
0,1.0015815496444702,249
0,0.9968582987785339,299
0,0.9991589188575745,349
0,0.9974582195281982,399
0,0.9983466267585754,449
0,0.9982447624206543,499
0,1.0023653507232666,549
0,1.0006120204925537,599
0,0.9932637214660645,649
0,0.9955396056175232,699
0,1.0002211332321167,749
0,0.9989089965820312,799
0,0.9960324168205261,849
0,0.9909960031509399,899
0,0.9928815364837646,949
0,0.9892730712890625,999
0,0.9855716228485107,1049
0,0.985504686832428,1099
0,0.988647997379303,1149
0,0.9861941933631897,1199
0,0.9860885143280029,1249
0,0.9909064769744873,1299
0,0.9859933853149414,1349
0,0.9926823973655701,1399
0,0.9884116649627686,1449
0,0.9835293292999268,1499
0,0.9901949167251587,1549
0,0.9830670952796936,1599
0,0.9822706580162048,1649
1,0.9813764095306396,1699
1,0.9752819538116455,1749
1,0.9816678762435913,1799
1,0.9825539588928223,1849
1,0.9721959829330444,1899
1,0.9759974479675293,1949
1,0.9783124327659607,1999
1,0.9774582386016846,2049
1,0.9779290556907654,2099
1,0.9774384498596191,2149
1,0.9804803729057312,2199
1,0.9799382090568542,2249
1,0.979387104511261,2299
1,0.979255199432373,2349
1,0.9766509532928467,2399
1,0.9755983948707581,2449
1,0.9738669991493225,2499
1,0.9811081290245056,2549
1,0.9754703044891357,2599
1,0.9753800630569458,2649
1,0.9749095439910889,2699
1,0.9763769507408142,2749
1,0.9789037108421326,2799
1,0.978284478187561,2849
1,0.9739110469818115,2899
1,0.9753215312957764,2949
1,0.9766668677330017,2999
1,0.9738612174987793,3049
1,0.9743667840957642,3099
1,0.9731384515762329,3149
1,0.9756656289100647,3199
1,0.9732315540313721,3249
1,0.9762936234474182,3299
2,0.9747570753097534,3349
2,0.9673957228660583,3399
